Account,Date From,Date To,Bag Count,Vendor Name,City,State,Zip code
201,2014-01-12,2014-02-01,2759,"Petco Animal Supplies Stores, Inc.",,CA,92121
576,2015-06-01,2015-06-30,3561,"Lerner New York, Inc",,NY,10001
59,2014-03-01,2014-03-31,4027,A.C. Moore Incorporated,,NJ,8009
421,2013-06-01,2013-06-30,1238,KCBW Inc,Germantown,MD,20874
887,2012-12-02,2012-12-29,3619,"Body Shop of America, Inc.",,FL,32217
508,2015-09-01,2015-09-30,353,"FAAN, INC.",Silver Spring,MD,20910
290,2015-11-01,2015-11-30,1125,laotao,Gaithersburg,MD,20878
948,2014-07-01,2014-08-31,2819,Runaway Chicken,Bethesda,MD,20814
1061,2016-07-01,2016-07-31,3,New Cingular Wireless PCS LLC,,FL,33408
528,2012-07-01,2012-07-31,2121,"LA CASITA, INC.",Silver Spring,MD,20910
292,2014-12-01,2014-12-31,587,Brey Corp. t/a Hobby Works,Laurel,MD,20707
221,2015-02-01,2015-02-28,11492,Kmart Corporation,,IL,60179
281,2014-05-01,2014-05-31,311,"Creative Hairdressers, Inc.",,VA,22182
198,2013-04-01,2013-04-30,14623,"The TJX Companies, Inc",,MA,1701
721,2012-01-01,2012-03-31,2303,LANE BRYANT 6428,Silver Spring,MD,20902
384,2016-04-01,2016-04-30,62,cafe shawreen,Rockville,MD,20852
99,2012-10-01,2012-12-31,52,Potomac Floral Wholesale Inc,Silver Spring,MD,20910
260,2013-06-01,2013-06-30,545,JAG Footwear Accessories and Retail corp,,PA,19007
466,2012-01-01,2012-01-31,1523,Asian Cafe LLC,Silver Spring,MD,20904
73,2015-12-01,2015-12-31,117265,"Macy's Retail Holdings, Inc.",,OH,45202
570,2012-05-01,2012-06-30,1222,Creme de la Creme Imports LLC dba Lou Lou,Bethesda,MD,20814
474,2016-03-01,2016-03-31,357,Lin and Yin Inc,Gaithersburg,MD,20878
603,2014-08-01,2014-08-31,1421,Angkor Supermarket Inc,Silver Spring,MD,20903
263,2016-03-01,2016-03-31,1676,Elbes Beer and Wine,Silver Spring,MD,20902
976,2012-12-01,2014-01-31,2987,"Naartjie Custom Kids, Inc",,UT,84104
73,2012-05-01,2012-05-31,52565,"Macy's Retail Holdings, Inc.",,OH,45202
102,2015-06-01,2015-06-30,16159,Walgreen Co.,,IL,60015
393,2012-10-31,2012-12-31,2542,Marbles the Brain Store,,IL,60660
103,2013-08-01,2013-08-31,64303,MONTGOMERY COUNTY DEPT. OF LIQUOR CONTROL,Gaithersburg,MD,20878
532,2016-07-01,2016-07-31,57726,"EVERLU FOOD, INC.",Rockville,MD,20852
623,2012-10-01,2012-10-31,25032,Korean Korner Inc,Silver Spring,MD,20906
964,2012-12-01,2012-12-31,545,Red Maple Associates LLC,Silver Spring,MD,20901
759,2016-04-01,2016-04-30,151,E&G VENTURES LLC,Rockville,MD,20853
807,2013-01-01,2013-08-31,1923,UNITED XU INC,Silver Spring,MD,20904
255,2015-03-01,2015-03-31,287,Luvandy Nara Inc,Gaithersburg,MD,20879
101,2012-03-26,2012-07-25,154,Surrey Central Inc.,Germantown,MD,20874
194,2013-06-30,2013-07-27,1749,Cost Plus World Market,,CA,94607
438,2014-03-01,2014-03-31,4239,GALIZ CORPORATION,Gaithersburg,MD,20877
486,2014-05-01,2014-05-31,2665,11-Jul,Montgomery Village,MD,20886
502,2016-07-01,2016-07-31,1293,Jacob's Mirae Inc,Silver Spring,MD,20901
1058,2015-02-01,2015-02-28,656,RALS KC MD LLC,,VA,20170
94,2015-09-01,2015-09-30,4423,Sarku SL White Oak Inc,Silver Spring,MD,20904
163,2012-01-29,2012-02-25,2574,AE Outfitters Retail Co.,,PA,15203
279,2012-11-01,2012-11-30,205,"Olney GT, LLC",Olney,MD,20832
291,2014-07-01,2014-07-31,1321,"Guest Services, Inc.",,VA,22031
417,2012-07-01,2012-07-31,4072,ASADO MD,Rockville,MD,20852
205,2013-08-01,2013-08-31,3491,7-11 #22921A,Silver Spring,MD,20910
501,2014-06-01,2014-06-30,46,PEPE COBBLER'S BENCH,Bethesda,MD,20817
582,2013-05-01,2013-05-31,2108,Sterling Inc.,,OH,44333
339,2015-05-01,2015-05-31,407,8701 Ram Inc,Silver Spring,MD,20910
652,2013-09-01,2013-10-31,2439,"Occasions of Montgoemry Mall, Inc.",Gaithersburg,MD,20877
1068,2014-02-01,2014-03-31,1156,Silver Diner Rockville LLC,Rockville,MD,20852
217,2013-06-30,2013-08-03,1391,Record Town Inc.,,NY,12203
603,2014-06-01,2014-06-30,1182,Angkor Supermarket Inc,Silver Spring,MD,20903
519,2012-12-01,2013-01-31,83716,Balducci's Maryland LLC,,NJ,7054
156,2014-09-01,2014-09-30,1077,"CLAIRE'S BOUTIQUES, INC.",,FL,33027
867,2013-01-01,2013-03-31,1774,"YANGS PROSPERITY ENTERPRISE, LTD",Germantown,MD,20874
825,2015-08-01,2015-08-31,57,ALICIA RESTAURANT INC,Rockville,MD,20850
19,2012-04-29,2012-06-19,6632,PetSmart Inc,,AZ,85027
423,2015-01-01,2015-01-31,34,Ballet Petite,Bethesda,MD,20816
442,2014-08-01,2014-08-31,2245,CY Associates Inc,Rockville,MD,20852
198,2012-07-01,2012-07-31,14048,"The TJX Companies, Inc",,MA,1701
925,2016-02-01,2016-02-29,292,Cork 57 Inc.,Bethesda,MD,20814
346,2015-08-01,2015-08-31,154,"Woodmont, Inc.",Rockville,MD,20850
589,2012-07-01,2012-07-31,16226,"Kohl's Department Stores, Inc.",,WI,53051
1059,2016-01-01,2016-01-31,72,KS POTOMAC INC,Rockville,MD,20852
446,2014-09-01,2014-09-30,2475,WHZ Inc,Silver Spring,MD,20910
346,2013-01-01,2013-01-31,182,"Woodmont, Inc.",Rockville,MD,20850
1143,2015-04-01,2015-06-30,135,GT Olney,,MD,21046
1136,2014-11-01,2014-11-30,1286,Milano's,,MD,21128
102,2013-11-01,2013-11-30,16323,Walgreen Co.,,IL,60015
876,2014-02-01,2014-02-28,375,"AREEHANT, LLC",Gaithersburg,MD,20879
1236,2015-01-01,2015-01-31,25,Downtown Beer and Wine Corp,Rockville,MD,20848
615,2012-02-29,2012-08-31,2026,Gaithersburg Comics,Gaithersburg,MD,20879
793,2013-06-01,2013-06-30,112,EL MARINERO CARRY OUT,Takoma Park,MD,20912
384,2012-09-01,2012-09-30,44,cafe shawreen,Rockville,MD,20852
1130,2014-10-01,2014-10-31,664,Bold Bite,Bethesda,MD,20814
142,2014-01-01,2014-01-31,1523,"MODELL'S MARYLAND II, INC.",,NY,10018
657,2014-10-01,2014-11-30,1634,"Banners of Milestone, LLC",Gaithersburg,MD,20877
1030,2015-01-01,2015-01-31,3251,"Grape & Grain, Inc.",Montgomery Village,MD,20886
1205,2015-07-01,2015-07-31,182,KIM CHHENG LLC,Gaithersburg,MD,20877
1129,2015-11-01,2015-11-30,2411,Dick's Sporting Goods Inc,,PA,15108
83,2013-07-01,2013-07-31,56543,"Home Depot USA.,INC.",,GA,30339
33,2016-07-23,2016-08-20,623,A&H Seafood Market Partners LLC,Bethesda,MD,20814
801,2012-08-01,2012-08-31,87,JE DING Corporation,Silver Spring,MD,20910
1041,2013-10-01,2013-10-31,1412,MICKY'S RESTAURANT,Gaithersburg,MD,20877
290,2014-11-01,2014-11-30,1442,laotao,Gaithersburg,MD,20878
512,2013-09-01,2013-09-30,2767,"Ulta Salon Cosmetics & Fragrance, Inc.",,IL,60440
1243,2015-01-01,2015-12-31,177,Elysiam LLC,Rockville,MD,20850
180,2012-01-01,2012-01-31,72,"Chic Gallery, LLC",Rockville,MD,20850
714,2014-08-01,2014-12-31,1386,"MICHAEL'S NOODLES, INC",Rockville,MD,20850
299,2012-08-26,2012-10-26,3119,jskholding inc (7-eleven),Gaithersburg,MD,20878
595,2015-06-01,2015-06-30,2761,"RRC Enterprises, Inc.",Germantown,MD,20874
674,2016-01-01,2016-01-31,238,Marshall David Martin dba Chick-fil-A at Germantown Town Center FSU,,GA,30349
186,2012-11-01,2012-09-23,3616,subwaywhiteoak,Silver Spring,MD,20904
